Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Quantidade de vitimas fatais;Tipo de registro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-03-01 00:00:00;1;3;2023;2023/03;-22,2020622;-49,96792737;RUA ALEXANDRE GUIZARDI;525;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-11-11 00:00:00;11;11;2019;2019/11;-22,20819399;-49,95446984;AVENIDA CASTRO ALVES;100;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-05-23 00:00:00;23;5;2023;2023/05;-22,22899257;-49,9643969;RODOVIA SP 294;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-08-11 00:00:00;11;8;2022;2022/08;-22,22021712;-49,94117338;AVENIDA PEDRO DE TOLEDO;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-05-27 00:00:00;27;5;2023;2023/05;-22,21137662;-49,93754051;AVENIDA BRIGADEIRO EDUARDO GOMES;228;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-01-29 00:00:00;29;1;2022;2022/01;-22,17236204;-49,95372276;RUA SOLDADO FILHO;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-01-12 00:00:00;12;1;2020;2020/01;-22,1680032;-49,9653715;AVENIDA EUGENIO CONEGLIAN;2586;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-24 00:00:00;24;2;2021;2021/02;-22,22141221;-49,9510839;AVENIDA RIO BRANCO;294;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-08-09 00:00:00;9;8;2022;2022/08;-22,28037775;-49,91896964;BR 153;260,9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-05 00:00:00;5;2;2020;2020/02;-22,21964524;-49,94509659;AVENIDA FEIJO;100;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
