;id_sinistro;Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Hora do Sinistro;Municipio;Regiao Administrativa;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Tipo de registro
8179;PM-15085-6-2023-9-11;2023-09-11 00:00:00;11;9;2023;2023/09;-22,22892814;-49,91728329;19:14:00;MARILIA;Marilia;AVENIDA DAS ESMERALDAS;2669;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
8238;PM-12999-6-2024-5-7;2024-05-07 00:00:00;7;5;2024;2024/05;-22,23824455;-49,97173551;20:08:00;MARILIA;Marilia;RUA OSCAR MUNIZ SAMPAIO;330;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
8431;PM-4266-6-2020-10-19;2020-10-19 00:00:00;19;10;2020;2020/10;-22,22515544;-49,96856751;07:38:00;MARILIA;Marilia;AVENIDA ERMELINDA CLARICE SANCHES CASARINI;568;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
8433;PM-4300-6-2023-1-18;2023-01-18 00:00:00;18;1;2023;2023/01;-22,17244597;-49,95292624;08:01:00;MARILIA;Marilia;ROTATORIA DA UNIMAR;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
8457;PM-8425-6-2024-2-8;2024-02-08 00:00:00;8;2;2024;2024/02;-22,2253567;-49,9623676;12:45:00;MARILIA;Marilia;AVENIDA DA SAUDADE;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
8459;PM-10226-6-2024-3-20;2024-03-20 00:00:00;20;3;2024;2024/03;-22,2168737;-49,9419757;13:09:00;MARILIA;Marilia;AVENIDA REPUBLICA;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
8475;PM-6513-6-2024-5-7;2024-05-07 00:00:00;7;5;2024;2024/05;-22,22985557;-49,93123895;12:53:00;MARILIA;Marilia;AVENIDA JOAO RAMALHO;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
8491;PM-17375-6-2021-7-8;2021-07-08 00:00:00;8;7;2021;2021/07;-22,21538967;-49,93975398;22:45:00;MARILIA;Marilia;AVENIDA VICENTE FERREIRA;607;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
8713;PM-6540-6-2020-10-26;2020-10-26 00:00:00;26;10;2020;2020/10;-22,20448002;-49,95598881;11:11:00;MARILIA;Marilia;AVENIDA CASTRO ALVES;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
8918;PM-9884-6-2023-8-21;2023-08-21 00:00:00;21;8;2023;2023/08;-22,21125687;-49,95210163;11:57:00;MARILIA;Marilia;AVENIDA SAMPAIO VIDAL;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
9173;PM-11182-6-2020-9-8;2020-09-08 00:00:00;8;9;2020;2020/09;-22,19645194;-49,96232886;17:38:00;MARILIA;Marilia;AVENIDA SANTO ANTONIO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
