;Id da Delegacia;Número do Bo;Ano do BO;Nome da Delegacia;Data do Sinistro;Dia do Sinistro;Mês do Sinistro;Ano do Sinistro;Ano/Mês do Sinistro;Dia da Semana;Hora do Sinistro;Turno;Município;Região Administrativa;Logradouro;Númeral / KM;Jurisdição;Administração;Conservação;Tipo de local do sinistro;latitude;longitude;Tipo de via;Pedestre envolvido;Automóvel envolvido;Bicicleta envolvida;Caminhão envolvido;Motocicleta envolvida;Ônibus  envolvido;Outros veículos envolvidos;Veículo envolvido não disponível;Tempo entre o Sinistro e o Óbito;Atropelamento;Capotamento;Choque;Colisão frontal;Colisão lateral;Colisão transversal;Colisão traseira;Outras colisões;Engavetamento;Tombamento;Outros sinistros;Quantidade de vítimas fatais;Tipo de Registro
44320;80504;5324;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-05-15 00:00:00;15;5;2017;2017/05;SEGUNDA;9;MANHA;MARILIA;MARÍLIA;SP 294;465,9;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15757176;-50,02207189;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
44497;80504;1004586407;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-02-24 00:00:00;24;2;2023;2023/02;SEXTA;7;MANHA;MARILIA;MARÍLIA;SP 333;352,421;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,32405809;-50,10304948;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
44701;80504;1010603289;2024;DEL.SEC.MARÍLIA PLANTÃO;2024-06-01 00:00:00;1;6;2024;2024/06;SÁBADO;7;MANHA;MARILIA;MARÍLIA;RUA AMÉRICA;672;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,19500808;-49,95063401;VIAS MUNICIPAIS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
45331;80504;1005673921;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-05-22 00:00:00;22;5;2023;2023/05;SEGUNDA;6;MANHA;MARILIA;MARÍLIA;SP 333;320,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,12383629;-49,93288867;RODOVIAS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
45559;80504;11914;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-11-21 00:00:00;21;11;2015;2015/11;SÁBADO;0;NAO DISPONIVEL;MARILIA;MARÍLIA;RUA MONTE CARMELO;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,2246357;-49,9397605;VIAS MUNICIPAIS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
45689;80504;11075;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-10-10 00:00:00;10;10;2017;2017/10;TERÇA;6;MANHA;MARILIA;MARÍLIA;SP 333;324,7;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,15559538;-49,95769474;RODOVIAS;1;0;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
45752;80504;10979;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-11-03 00:00:00;3;11;2016;2016/11;QUINTA;23;NOITE;MARILIA;MARÍLIA;RUA LUCIA RASPANTE;15;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,158344;-49,969892;VIAS MUNICIPAIS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
46034;80504;98;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-01-05 00:00:00;5;1;2015;2015/01;SEGUNDA;6;MANHA;MARILIA;MARÍLIA;RUA ILZA DE ASSIS PENITENTE;843;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,15497007;-49,95995895;VIAS MUNICIPAIS;1;0;0;0;1;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
46727;80504;7786;2021;DEL.SEC.MARÍLIA PLANTÃO;2021-10-06 00:00:00;6;10;2021;2021/10;QUARTA;20;NOITE;MARILIA;MARÍLIA;SP 294;453,3;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,21820992;-49,96566456;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
46770;80504;1009404307;2024;DEL.SEC.MARÍLIA PLANTÃO;2024-03-06 00:00:00;6;3;2024;2024/03;QUARTA;14;TARDE;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;1;0;0;0;0;0;0;1;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
